,Jaipur,Delhi,Ghaziabad,Noida,Lucknow,Ahmedabad,Gurugram,Faridabad,Agra,Kanpur,Mumbai,Pune,Hyderabad,Varanasi,Patna,Thiruvananthapuram,Bengaluru,Chennai,Visakhapatnam,Kolkata
2018-01-01,180.96774,328.8387,405.4516,319.0,361.48386,191.26666,274.03333,337.1613,355.6129,372.23334,174.39131,78.53333,140.03226,297.26666,345.0,132.16129,89.0,141.93549,209.03703,63.8
2018-02-01,162.35715,262.7857,288.25,225.85185,261.17856,220.84,223.53572,265.60715,235.39285,199.82143,149.27272,117.03704,111.5,252.14285,299.13043,94.375,78.28571,110.14286,152.25926,63.8
2018-03-01,116.3871,214.0,244.32259,191.06451,227.09677,201.06897,223.96153,185.41936,183.19354,131.65517,129.6129,113.3871,110.29032,233.54839,249.96552,77.96429,97.6129,98.064514,114.32258,63.8
2018-04-01,144.9,223.33333,237.9,233.3,201.56667,174.86667,248.33333,178.8,145.84,108.31035,89.947365,101.433334,88.8,193.47058,196.65384,65.27586,89.6,67.23333,70.26923,63.8
2018-05-01,165.03226,218.41936,240.32259,229.67741,216.48387,104.55173,266.2258,197.6923,161.66667,140.36667,74.1875,95.17391,90.129036,177.45161,184.53334,54.9,78.48387,79.96774,74.18519,72.85714
2018-06-01,164.23334,203.06667,213.27586,206.13333,187.43333,108.586205,241.43333,150.88461,108.64286,105.32143,71.65,63.8,62.833332,176.56667,147.13333,45.75862,60.6,98.1,100.68421,82.18519
2018-07-01,98.83871,104.0,110.566666,99.77419,70.6129,107.5,108.82143,103.78571,65.77778,78.3871,66.75,57.033333,53.096775,83.51724,91.344826,45.689655,53.967743,97.80645,87.77778,46.258064
2018-08-01,100.19355,111.3871,112.166664,115.22581,80.0,88.5,140.77272,140.875,55.75862,85.51613,70.3871,55.064518,56.83871,88.72414,100.71429,60.7,54.35484,86.03226,97.166664,62.5
2018-09-01,94.13333,111.63333,127.10345,134.13333,95.333336,108.0,131.28572,125.69231,60.633335,88.4,75.96667,63.566666,77.96667,149.2069,123.92,52.892857,67.5,79.703705,101.6,78.27586
2018-10-01,142.96774,268.9355,299.25925,277.53333,248.58064,217.46666,322.08,281.63333,215.35715,256.67743,115.17391,105.064514,107.32258,230.25807,233.53847,60.83871,83.32258,94.41936,140.41936,155.25807
2018-11-01,168.0,335.03333,352.8,344.7,341.1,204.33333,282.93103,345.06897,316.48276,340.36365,138.36,143.33333,111.433334,319.23077,352.74075,89.23333,91.333336,109.13333,109.73684,258.73334
2018-12-01,150.80646,360.51614,391.26666,369.76666,334.35483,180.89655,249.92592,343.9355,362.2258,357.1613,150.2258,169.60715,134.54839,358.34482,392.20834,119.67742,112.354836,125.41936,167.31818,325.19354
2019-01-01,140.64516,327.7097,339.48386,319.90323,288.12903,179.0,272.9655,325.96,308.66666,345.74075,168.74193,179.9,133.74193,310.35483,371.93103,126.0,111.03226,114.870964,280.46155,342.90323
2019-02-01,112.85714,242.39285,262.66666,240.39285,230.21428,128.75,181.96297,189.85715,215.8077,222.39285,147.77777,130.46428,114.25,281.18518,270.66666,81.07143,102.92857,86.28571,144.90909,250.67857
2019-03-01,101.451614,184.16129,206.41936,179.32259,217.70967,141.64516,148.9,167.22223,160.65517,140.32,120.03333,124.166664,104.258064,232.66667,209.22223,82.793106,121.3871,88.548386,91.96154,161.45161
2019-04-01,139.33333,210.73334,258.13333,207.43333,218.4,190.1923,200.33333,201.51852,141.4,130.85715,93.206894,92.22222,90.333336,236.66667,163.17857,63.6,115.333336,68.0,90.18519,80.73333
2019-05-01,136.80646,220.6129,273.0645,225.06451,180.58064,128.8,207.33333,202.55173,129.03334,138.86208,85.77419,84.0,110.51613,242.7,186.73334,71.76,94.3871,88.22581,123.44444,84.31035
