Observed_AQI,Persistence_Predicted_AQI,ConvLSTM_Predicted_AQI
121.566666,108.41936,101.34601
183.4,175.90323,152.29385
157.96666,131.80646,103.96002
173.83333,148.3871,124.09596
134.06667,114.258064,104.497246
119.933334,138.2258,118.91645
235.0,191.35484,160.66086
197.3,187.83333,162.0142
70.03333,71.03226,62.65551
121.566666,105.129036,93.49537
98.73333,98.741936,73.64364
103.0,116.6129,96.100075
86.166664,83.19355,74.452126
35.0,35.032257,43.27974
222.56667,168.41936,143.1214
63.166668,73.129036,63.933784
80.46667,104.41936,93.349625
61.2,73.6129,68.96348
104.5,102.16129,90.12151
98.2,91.935486,65.50681
150.58064,121.566666,111.94788
224.03226,183.4,159.0979
191.74193,157.96666,127.34792
228.3871,173.83333,147.14825
145.67741,134.06667,123.054184
134.35484,119.933334,97.26711
219.7742,235.0,205.42584
235.90323,197.3,171.48793
79.03226,70.03333,63.507195
129.32259,121.566666,112.90979
81.451614,98.73333,77.28638
102.548386,103.0,84.898125
73.58064,86.166664,77.358055
38.580635,35.0,47.353676
171.06451,222.56667,194.76367
55.6,63.166668,55.02855
66.96774,80.46667,70.29202
65.870964,61.2,59.11665
88.51613,104.5,96.33273
58.774193,98.2,79.019455
120.03333,150.58064,139.83377
179.13333,224.03226,205.73828
167.1,191.74193,165.16397
183.0,228.3871,199.34657
116.7,145.67741,133.9351
101.36667,134.35484,111.5698
177.13333,219.7742,188.99641
174.5,235.90323,207.15202
61.36667,79.03226,66.83292
113.066666,129.32259,114.76352
53.700005,81.451614,72.697136
59.8,102.548386,86.31598
59.4,73.58064,64.7781
41.9,38.580635,39.982704
135.03334,171.06451,137.58237
40.766663,55.6,49.956306
49.7,66.96774,61.635582
66.4,65.870964,64.835266
98.82143,88.51613,82.87645
53.36666,58.774193,42.282227
66.064514,120.03333,134.04057
96.064514,179.13333,207.24861
92.29032,167.1,181.14331
74.8387,183.0,172.67651
61.12903,116.7,105.94237
72.6129,101.36667,104.627945
109.19355,177.13333,204.61572
115.161285,174.5,166.21945
38.09677,61.36667,71.46022
57.677414,113.066666,97.270905
44.41935,53.700005,59.448524
52.258064,59.8,62.205036
51.967743,59.4,70.70251
46.935493,41.9,61.194786
73.6129,135.03334,108.76805
43.096775,40.766663,42.15135
50.774193,49.7,59.77401
68.645164,66.4,70.744156
89.064514,98.82143,103.46135
42.645164,53.36666,57.291
56.29032,66.064514,72.23154
72.161285,96.064514,144.42859
66.03226,92.29032,123.25978
68.548386,74.8387,90.85028
52.6129,61.12903,46.37536
58.645157,72.6129,73.00325
92.4,109.19355,144.35265
69.35483,115.161285,143.35495
31.161293,38.09677,39.7145
55.09677,57.677414,52.878967
42.32258,44.41935,31.025276
52.29032,52.258064,44.063465
57.129032,51.967743,64.76277
51.645157,46.935493,79.05028
69.29032,73.6129,81.70374
46.225807,43.096775,43.323265
56.129032,50.774193,59.989033
63.870968,68.645164,73.341736
85.75862,89.064514,105.36823
50.387093,42.645164,56.29959
86.566666,56.29032,74.55178
105.09999,72.161285,100.42617
112.63333,66.03226,81.873856
109.4,68.548386,77.987526
60.9,52.6129,46.739517
70.76667,58.645157,83.69087
91.066666,92.4,130.20274
72.66666,69.35483,111.591736
42.199997,31.161293,24.416534
61.300003,55.09677,59.700577
46.7,42.32258,46.578278
55.166668,52.29032,68.68613
61.2,57.129032,63.8362
65.0,51.645157,33.19097
84.2,69.29032,62.254166
