City,MAE
Hyderabad,7.704603672027588
Bengaluru,9.293203353881836
Thiruvananthapuram,9.473525047302246
Mumbai,11.943476676940918
Chennai,13.905671119689941
Ahmedabad,14.895888328552246
Pune,15.056205749511719
Agra,15.71038818359375
Kanpur,18.12853240966797
Varanasi,18.16853904724121
Patna,18.638341903686523
Kolkata,19.31376075744629
Jaipur,22.755586624145508
Lucknow,24.252883911132812
Visakhapatnam,27.054031372070312
Noida,33.3525505065918
Gurugram,36.52836608886719
Faridabad,40.36893081665039
Ghaziabad,46.855499267578125
Delhi,48.99098587036133
