City,Order,Seasonal,AIC
Jaipur,"(1, 2, 2)","(1, 1, 1, 12)",371.70361241458147
Delhi,"(2, 2, 2)","(0, 1, 1, 12)",400.92127104845355
Ghaziabad,"(0, 2, 2)","(0, 1, 1, 12)",411.5587598783673
Noida,"(0, 1, 2)","(0, 1, 1, 12)",411.82434966238907
Lucknow,"(0, 2, 2)","(1, 1, 1, 12)",402.5655036183412
Ahmedabad,"(0, 2, 2)","(0, 1, 1, 12)",361.720830128543
Gurugram,"(2, 2, 2)","(0, 1, 1, 12)",409.1460243371701
Faridabad,"(1, 2, 2)","(0, 1, 1, 12)",407.01908560489045
Agra,"(1, 2, 2)","(0, 1, 1, 12)",406.4712322773651
Kanpur,"(1, 2, 2)","(1, 1, 1, 12)",392.99230359553803
Mumbai,"(1, 2, 2)","(1, 1, 1, 12)",337.9581180250475
Pune,"(1, 2, 2)","(0, 1, 1, 12)",331.3959474563199
Hyderabad,"(2, 0, 2)","(0, 1, 1, 12)",332.36227728482464
Varanasi,"(0, 2, 2)","(0, 1, 1, 12)",406.98167394715864
Patna,"(1, 2, 2)","(0, 1, 1, 12)",399.5874369096696
Thiruvananthapuram,"(0, 2, 2)","(0, 1, 1, 12)",305.77048192915737
Bengaluru,"(1, 1, 2)","(0, 1, 1, 12)",300.43850736573404
Chennai,"(0, 2, 2)","(0, 1, 1, 12)",313.3502739155703
Visakhapatnam,"(0, 2, 2)","(0, 1, 1, 12)",362.06621418967023
Kolkata,"(1, 2, 2)","(1, 1, 1, 12)",369.77181544027303
