Fold,Model,MAE,RMSE,R2,NSE,Train_Size,Test_Size
1,ConvLSTM,29.585683822631836,37.24809265136719,0.6448521614074707,0.6448521912097931,36,6
1,Persistence,23.866436004638672,31.197832107543945,0.750856339931488,0.7508563548326492,36,6
1,SARIMA,23.866436004638672,31.197832107543945,0.750856339931488,0.7508563548326492,36,6
2,ConvLSTM,33.7525634765625,47.5262451171875,0.6088316440582275,0.6088316142559052,42,6
2,Persistence,32.83454513549805,48.75564956665039,0.5883324146270752,0.5883324146270752,42,6
2,SARIMA,32.83454513549805,48.75564956665039,0.5883324146270752,0.5883324146270752,42,6
3,ConvLSTM,19.58394432067871,26.667354583740234,0.806749701499939,0.8067497313022614,48,6
3,Persistence,20.828365325927734,29.235509872436523,0.7677361369132996,0.7677361518144608,48,6
3,SARIMA,20.828365325927734,29.235509872436523,0.7677361369132996,0.7677361518144608,48,6
4,ConvLSTM,34.5592155456543,50.258392333984375,0.5767945051193237,0.5767944753170013,54,6
4,Persistence,34.151283264160156,48.78843688964844,0.6011882424354553,0.6011882424354553,54,6
4,SARIMA,34.151283264160156,48.78843688964844,0.6011882424354553,0.6011882424354553,54,6
5,ConvLSTM,26.564058303833008,35.461219787597656,0.7009322643280029,0.7009322941303253,60,6
5,Persistence,25.49687957763672,36.173057556152344,0.6888049840927124,0.6888049840927124,60,6
5,SARIMA,25.49687957763672,36.173057556152344,0.6888049840927124,0.6888049840927124,60,6
6,ConvLSTM,18.57019805908203,24.748424530029297,0.869468092918396,0.8694681227207184,66,6
6,Persistence,34.464046478271484,48.113216400146484,0.5066555738449097,0.5066555738449097,66,6
6,SARIMA,34.464046478271484,48.113216400146484,0.5066555738449097,0.5066555738449097,66,6
7,ConvLSTM,23.123483657836914,30.99070167541504,0.6299071311950684,0.6299071311950684,72,3
7,Persistence,23.83188247680664,31.741830825805664,0.6117496490478516,0.611749678850174,72,3
7,SARIMA,23.83188247680664,31.741830825805664,0.6117496490478516,0.611749678850174,72,3
